"record_id","title","publication_year","publication_title","issn","doi"
48,"Preliminary Prospective Study to Assess the Effect of Early Blood Urea Nitrogen/Creatinine Ratio-Based Hydration Therapy on Poststroke Infection Rate and Length of Stay in Acute Ischemic Stroke",2015,"Journal of Stroke and Cerebrovascular Diseases: The Official Journal of National Stroke Association","1532-8511","10.1016/j.jstrokecerebrovasdis.2015.08.002"
49,"Multicenter phase II study of a combination of cyclosporine a, methotrexate and mycophenolate mofetil for GVHD prophylaxis: results of the Chinese Bone Marrow Transplant Cooperative Group (CBMTCG)",2014,"Journal of Hematology & Oncology","1756-8722","10.1186/s13045-014-0059-3"
50,"Blinatumomab compared with standard of care for the treatment of adult patients with relapsed/refractory Philadelphia chromosome-positive B-precursor acute lymphoblastic leukemia",2020,"Cancer","1097-0142","10.1002/cncr.32558"
51,"Adult height in children with idiopathic short stature treated with growth hormone",2000,"Journal of pediatric endocrinology & metabolism: JPEM","0334-018X","10.1515/jpem.2000.13.9.1595"
52,"A phase III study to access the safety and efficacy of prolgolimab 250 mg fixed dose administered every 3 weeks versus prolgolimab 1 mg/kg every 2 weeks in patients with metastatic melanoma (FLAT)",2024,"Frontiers in Oncology","2234-943X","10.3389/fonc.2024.1385685"
53,"Efficacy of caspofungin as salvage therapy for invasive aspergillosis compared to standard therapy in a historical cohort",2010,"European Journal of Clinical Microbiology & Infectious Diseases: Official Publication of the European Society of Clinical Microbiology","1435-4373","10.1007/s10096-010-1013-0"
54,"Therapeutic effects and mechanisms of Ku-Gan formula on atopic dermatitis: A pilot clinical study and modular pharmacology analysis with animal validation",2023,"Journal of Ethnopharmacology","1872-7573","10.1016/j.jep.2023.116194"
55,"Can daclizumab reduce acute rejection and improve long-term renal function in tacrolimus-based primary renal transplant recipients?",2008,"Nephrology (Carlton, Vic.)","1440-1797","10.1111/j.1440-1797.2007.00911.x"
56,"The Effect of Supplementary Omegaven® on the Clinical Outcome of Patients With Advanced Esophagogastric Adenocarcinoma Receiving Palliative Epirubicin, Oxaliplatin, and Capecitabine Chemotherapy: A Phase II clinical trial",2019,"Anticancer Research","1791-7530","10.21873/anticanres.13185"
57,"Evidence that treatment with vaccinia melanoma cell lysates (VMCL) may improve survival of patients with stage II melanoma. Treatment of stage II melanoma with viral lysates",1987,"Cancer immunology, immunotherapy: CII","0340-7004","10.1007/BF00199156"
58,"Active immunotherapy with viral lysates of micrometastases following surgical removal of high risk melanoma",1992,"World Journal of Surgery","0364-2313","10.1007/BF02071529"
59,"Phase III trial of 8% vaginal progesterone gel for luteal phase support in Japanese women undergoing in vitro fertilization and fresh embryo transfer cycles",2017,"Reproductive Medicine and Biology","1445-5781","10.1002/rmb2.12009"
60,"C1 Inhibitor in Acute Antibody-Mediated Rejection Nonresponsive to Conventional Therapy in Kidney Transplant Recipients: A Pilot Study",2016,"American Journal of Transplantation: Official Journal of the American Society of Transplantation and the American Society of Transplant Surgeons","1600-6143","10.1111/ajt.13663"
61,"Treatment with lenalidomide does not appear to increase the risk of progression in lower risk myelodysplastic syndromes with 5q deletion. A comparative analysis by the Groupe Francophone des Myelodysplasies",2012,"Haematologica","1592-8721","10.3324/haematol.2011.045914"
62,"Stimulation of adrenergic activity by desipramine enhances hematopoietic stem and progenitor cell mobilization along with G-CSF in multiple myeloma: A pilot study",2017,"American Journal of Hematology","1096-8652","10.1002/ajh.24843"
63,"Elranatamab efficacy in MagnetisMM-3 compared with real-world control arms in triple-class refractory multiple myeloma.",2024,"Future oncology (London, England)","1744-8301 1479-6694","10.2217/fon-2023-0995"
64,"Real-world survival outcomes of heavily pretreated patients with refractory HR+, HER2-metastatic breast cancer receiving single-agent chemotherapy-a comparison  with MONARCH 1.",2020,"Breast cancer research and treatment","1573-7217 0167-6806","10.1007/s10549-020-05838-5"
65,"Phase 2 Trial of Veliparib, Local Irradiation and Temozolomide in Patients with Newly Diagnosed High-Grade Glioma: A Children's Oncology Group Study",2024,"Neuro-Oncology","1523-5866","10.1093/neuonc/noae247"
66,"Efficacy and tolerability of bevacizumab in patients with severe Covid-19",2021,"Nature Communications","2041-1723","10.1038/s41467-021-21085-8"
67,"Treatment with recombinant human granulocyte colony-stimulating factor after chemotherapy for acute myeloid leukemia",1996,"Current Therapeutic Research","0011393X","10.1016/S0011-393X(96)80034-8"
68,"Evaluation of the Prognostic Impact of SP263-Evaluated PD-L1 Expression in Patients with Stage III Non-Small Cell Lung Cancer (NSLC) Treated with  Radio-Chemotherapy.",2024,"Biomedicines","2227-9059","10.3390/biomedicines12030688"
69,"Comparative effectiveness of ciltacabtagene autoleucel in CARTITUDE-1 versus physician's choice of therapy in the Flatiron Health multiple myeloma cohort  registry for the treatment of patients with relapsed or refractory multiple  myeloma.",2022,"EJHaem","2688-6146","10.1002/jha2.312"
